age,gender,weight_kg,height_cm,bmi,activity_level,fitness_level,goal,personality,location,hours_available_per_week,monthly_budget_usd,health_issue,prefers_team_sport,prefers_outdoor,prefers_contact_sport,risk_tolerance,competitive_level,coordination_level,striking_preference,grappling_preference,speed_agility,endurance_level,preferred_distance,recommended_sport,sport_difficulty,sport_type,sport_environment,sport_budget_level,calories_burned_per_hour,user_id,user_rating,clicked,practiced
32,Female,65.4,172.0,22.1,Lightly Active,Beginner,Stay Healthy,Introvert,Urban,3.4,82.0,Back Pain,0,1,1,2,2,3,0,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17439,3.7,0,1
13,Female,42.1,147.0,19.5,Moderately Active,Advanced,Lose Weight,Introvert,Rural,11.0,52.0,None,0,1,0,3,2,3,0,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17440,4.4,1,1
14,Male,49.5,154.3,20.8,Very Active,Advanced,Lose Weight,Extrovert,Urban,2.1,148.0,None,0,1,0,2,1,3,1,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17441,4.7,1,1
29,Female,84.3,167.6,30.0,Lightly Active,Intermediate,Stay Healthy,Ambivert,Urban,9.2,22.0,Back Pain,0,1,1,1,3,2,1,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17442,3.8,1,1
31,Female,64.7,163.5,24.2,Very Active,Beginner,Lose Weight,Introvert,Urban,8.1,50.0,None,0,1,0,1,1,2,0,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17443,3.6,1,1
57,Female,83.8,174.6,27.5,Lightly Active,Beginner,Lose Weight,Ambivert,Suburban,4.1,142.0,None,0,1,0,2,1,3,0,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17444,4.0,0,1
23,Female,69.6,155.5,28.8,Moderately Active,Intermediate,Stay Healthy,Ambivert,Suburban,9.5,45.0,Back Pain,0,1,0,3,3,3,0,0,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17445,3.7,0,0
55,Female,92.5,164.0,34.4,Very Active,Advanced,Improve Endurance,Introvert,Suburban,8.5,81.0,None,0,1,0,2,3,3,1,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17446,3.8,1,1
41,Male,83.6,174.4,27.5,Moderately Active,Intermediate,Improve Endurance,Ambivert,Urban,10.7,38.0,Back Pain,0,1,0,2,2,3,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17447,4.0,1,1
64,Female,50.1,157.5,20.2,Lightly Active,Beginner,Stay Healthy,Introvert,Urban,2.3,87.0,Back Pain,0,1,0,2,2,2,0,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17448,4.0,1,1
63,Female,83.5,163.3,31.3,Lightly Active,Intermediate,Lose Weight,Extrovert,Urban,7.1,107.0,Back Pain,0,1,0,2,3,3,1,0,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17449,3.6,1,1
22,Female,77.3,167.0,27.7,Very Active,Beginner,Lose Weight,Introvert,Suburban,8.5,142.0,None,0,1,1,3,1,3,0,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17450,4.8,0,0
25,Female,53.6,153.6,22.7,Moderately Active,Advanced,Stay Healthy,Ambivert,Urban,9.9,141.0,Back Pain,0,1,1,1,2,2,1,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17451,4.7,1,0
55,Male,108.3,184.8,31.7,Lightly Active,Advanced,Stay Healthy,Ambivert,Urban,7.6,78.0,None,0,1,0,2,3,2,0,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17452,4.5,1,1
18,Female,55.9,164.4,20.7,Lightly Active,Advanced,Improve Endurance,Ambivert,Urban,7.1,47.0,Back Pain,0,1,0,3,1,3,1,0,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17453,4.1,1,1
47,Male,69.3,175.5,22.5,Very Active,Intermediate,Lose Weight,Introvert,Suburban,7.8,96.0,None,0,1,0,2,2,3,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17454,3.5,0,1
18,Female,78.3,162.1,29.8,Very Active,Intermediate,Stay Healthy,Introvert,Rural,9.2,117.0,None,0,1,0,3,1,3,0,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17455,4.9,0,1
23,Female,69.9,170.3,24.1,Moderately Active,Beginner,Stay Healthy,Introvert,Rural,6.2,75.0,None,0,1,0,1,2,3,0,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17456,3.7,0,0
63,Male,77.5,181.2,23.6,Lightly Active,Intermediate,Stay Healthy,Extrovert,Suburban,8.2,89.0,None,0,1,0,3,2,3,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17457,4.1,1,1
39,Male,100.6,180.1,31.0,Very Active,Advanced,Improve Endurance,Ambivert,Suburban,6.3,121.0,Back Pain,0,1,1,2,3,3,1,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17458,4.4,1,1
62,Male,100.1,171.6,34.0,Moderately Active,Advanced,Lose Weight,Extrovert,Urban,5.9,104.0,Back Pain,0,1,0,3,3,3,0,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17459,4.7,1,1
42,Male,69.3,173.6,23.0,Moderately Active,Intermediate,Lose Weight,Extrovert,Urban,4.7,41.0,Back Pain,0,1,0,2,2,2,0,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17460,4.3,1,1
33,Male,85.2,168.0,30.2,Moderately Active,Advanced,Lose Weight,Introvert,Rural,5.0,46.0,None,0,1,1,2,3,2,0,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17461,4.3,1,1
39,Male,84.4,159.2,33.3,Very Active,Advanced,Lose Weight,Extrovert,Rural,5.7,105.0,None,0,1,1,1,1,3,0,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17462,4.1,1,0
60,Male,87.0,165.4,31.8,Very Active,Intermediate,Stay Healthy,Ambivert,Urban,11.7,76.0,None,0,1,1,2,1,2,1,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17463,4.1,1,1
61,Male,92.8,179.8,28.7,Very Active,Advanced,Improve Endurance,Ambivert,Rural,5.8,106.0,None,0,1,1,3,2,3,1,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17464,4.9,0,1
16,Female,108.1,177.3,34.4,Moderately Active,Beginner,Improve Endurance,Ambivert,Suburban,5.7,71.0,None,0,1,1,1,3,2,0,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17465,3.5,1,1
27,Female,98.3,168.8,34.5,Very Active,Intermediate,Lose Weight,Ambivert,Suburban,3.9,143.0,Back Pain,0,1,0,2,1,3,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17466,4.1,0,0
39,Male,106.0,177.9,33.5,Moderately Active,Beginner,Lose Weight,Ambivert,Rural,10.8,54.0,None,0,1,0,3,2,3,1,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17467,4.3,1,1
54,Female,67.8,154.5,28.4,Moderately Active,Advanced,Lose Weight,Extrovert,Rural,9.8,123.0,Back Pain,0,1,0,3,1,3,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17468,4.7,0,1
32,Male,79.4,174.7,26.0,Very Active,Intermediate,Stay Healthy,Introvert,Rural,10.4,129.0,Back Pain,0,1,1,2,2,3,1,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17469,4.6,1,1
62,Female,62.7,167.7,22.3,Moderately Active,Intermediate,Lose Weight,Introvert,Suburban,5.3,35.0,None,0,1,1,1,3,2,0,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17470,4.8,1,0
48,Female,75.0,170.2,25.9,Lightly Active,Intermediate,Improve Endurance,Introvert,Rural,3.6,67.0,None,0,1,0,1,2,3,1,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17471,4.3,0,1
28,Male,62.1,176.2,20.0,Moderately Active,Advanced,Improve Endurance,Extrovert,Suburban,3.0,24.0,None,0,1,1,2,1,2,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17472,4.9,1,1
23,Male,93.4,172.5,31.4,Moderately Active,Advanced,Stay Healthy,Extrovert,Rural,8.2,98.0,None,0,1,0,2,2,2,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17473,3.7,1,0
18,Male,100.5,171.7,34.1,Very Active,Beginner,Stay Healthy,Ambivert,Rural,11.1,93.0,Back Pain,0,1,1,1,1,3,0,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17474,4.5,1,1
19,Male,58.0,178.1,18.3,Moderately Active,Beginner,Stay Healthy,Extrovert,Rural,9.7,99.0,Back Pain,0,1,0,1,2,2,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17475,3.7,1,1
41,Female,65.5,164.9,24.1,Lightly Active,Beginner,Lose Weight,Ambivert,Urban,4.8,41.0,Back Pain,0,1,1,2,3,3,0,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17476,3.8,1,1
34,Female,89.2,164.4,33.0,Lightly Active,Beginner,Improve Endurance,Introvert,Urban,8.3,92.0,Back Pain,0,1,1,3,3,3,0,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17477,3.6,0,1
36,Female,64.3,164.7,23.7,Moderately Active,Advanced,Improve Endurance,Extrovert,Urban,11.9,76.0,None,0,1,0,2,3,3,1,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17478,3.9,1,1
58,Female,60.7,160.7,23.5,Very Active,Intermediate,Lose Weight,Extrovert,Urban,2.7,144.0,None,0,1,1,2,1,2,1,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17479,3.9,1,1
32,Male,90.3,164.2,33.5,Very Active,Advanced,Improve Endurance,Ambivert,Urban,4.6,131.0,None,0,1,1,3,2,2,0,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17480,3.5,1,1
16,Female,63.7,162.2,24.2,Moderately Active,Beginner,Lose Weight,Introvert,Suburban,2.4,116.0,Back Pain,0,1,1,3,3,2,0,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17481,4.3,0,1
49,Male,58.9,165.9,21.4,Very Active,Beginner,Lose Weight,Introvert,Urban,8.2,33.0,Back Pain,0,1,0,2,3,3,1,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17482,4.7,0,1
62,Male,67.1,177.1,21.4,Moderately Active,Advanced,Stay Healthy,Introvert,Suburban,6.4,141.0,None,0,1,1,3,1,2,0,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17483,5.0,1,0
54,Male,72.2,178.3,22.7,Lightly Active,Intermediate,Lose Weight,Ambivert,Suburban,4.6,32.0,Back Pain,0,1,0,1,1,2,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17484,4.6,1,1
61,Male,130.0,193.9,34.6,Moderately Active,Advanced,Lose Weight,Extrovert,Urban,10.5,143.0,Back Pain,0,1,0,1,2,3,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17485,4.9,0,1
37,Female,83.4,173.8,27.6,Moderately Active,Intermediate,Lose Weight,Extrovert,Suburban,8.9,56.0,Back Pain,0,1,0,3,2,2,1,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17486,4.6,0,1
22,Female,88.0,167.9,31.2,Lightly Active,Advanced,Lose Weight,Introvert,Suburban,7.0,134.0,None,0,1,0,3,3,3,1,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17487,4.9,1,0
31,Female,85.5,161.0,33.0,Lightly Active,Beginner,Lose Weight,Introvert,Rural,5.3,134.0,None,0,1,1,2,3,2,0,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17488,5.0,1,0
18,Male,87.1,175.7,28.2,Moderately Active,Advanced,Lose Weight,Extrovert,Suburban,6.0,61.0,Back Pain,0,1,1,2,3,2,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17489,4.9,1,1
37,Female,53.8,157.1,21.8,Moderately Active,Beginner,Improve Endurance,Introvert,Suburban,8.7,114.0,Back Pain,0,1,1,3,3,2,0,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17490,4.5,1,1
40,Male,67.9,172.6,22.8,Very Active,Advanced,Lose Weight,Extrovert,Urban,7.4,63.0,Back Pain,0,1,0,3,3,3,0,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17491,4.2,1,1
11,Male,30.4,130.0,18.0,Lightly Active,Advanced,Lose Weight,Introvert,Urban,6.4,105.0,Back Pain,0,1,1,2,3,3,1,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17492,4.9,1,1
63,Male,102.2,173.9,33.8,Very Active,Advanced,Lose Weight,Introvert,Suburban,4.5,101.0,None,0,1,0,2,2,2,0,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17493,4.7,1,0
63,Male,110.1,186.1,31.8,Lightly Active,Intermediate,Improve Endurance,Ambivert,Rural,4.4,96.0,Back Pain,0,1,1,3,3,2,1,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17494,4.4,1,1
33,Female,80.1,167.6,28.5,Moderately Active,Advanced,Lose Weight,Extrovert,Urban,3.2,46.0,None,0,1,1,3,1,2,0,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17495,4.2,1,1
16,Female,84.2,157.1,34.1,Moderately Active,Beginner,Stay Healthy,Extrovert,Urban,10.8,141.0,None,0,1,1,3,2,2,1,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17496,4.3,1,0
61,Female,55.7,164.1,20.7,Moderately Active,Intermediate,Lose Weight,Introvert,Urban,10.3,50.0,Back Pain,0,1,1,1,1,2,0,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17497,4.7,1,1
62,Male,72.3,174.7,23.7,Lightly Active,Beginner,Improve Endurance,Ambivert,Rural,4.8,86.0,Back Pain,0,1,1,3,2,2,0,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17498,4.5,1,1
32,Male,94.0,169.0,32.9,Moderately Active,Advanced,Stay Healthy,Ambivert,Urban,4.0,27.0,None,0,1,0,1,1,3,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17499,4.7,0,0
63,Male,105.0,176.5,33.7,Very Active,Beginner,Improve Endurance,Ambivert,Suburban,6.5,39.0,None,0,1,0,2,2,2,1,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17500,3.7,0,0
44,Female,73.9,167.9,26.2,Moderately Active,Intermediate,Stay Healthy,Ambivert,Suburban,10.1,149.0,None,0,1,1,1,2,3,1,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17501,4.7,1,1
39,Male,60.8,183.3,18.1,Moderately Active,Advanced,Lose Weight,Ambivert,Urban,10.0,34.0,None,0,1,1,1,3,2,1,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17502,4.9,0,0
28,Male,83.8,171.2,28.6,Lightly Active,Advanced,Stay Healthy,Ambivert,Urban,4.5,37.0,Back Pain,0,1,0,3,2,3,0,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17503,3.9,1,1
58,Male,80.5,174.3,26.5,Lightly Active,Advanced,Stay Healthy,Ambivert,Suburban,7.5,47.0,Back Pain,0,1,1,1,1,3,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17504,4.2,1,1
25,Male,93.6,179.3,29.1,Very Active,Advanced,Stay Healthy,Introvert,Urban,11.1,146.0,None,0,1,0,3,2,2,0,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17505,4.3,1,1
54,Male,70.1,167.8,24.9,Lightly Active,Advanced,Stay Healthy,Ambivert,Suburban,3.7,110.0,Back Pain,0,1,0,1,1,3,1,0,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17506,4.5,1,1
15,Male,65.2,187.2,18.6,Very Active,Advanced,Lose Weight,Introvert,Rural,10.6,108.0,None,0,1,1,1,1,3,1,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17507,4.1,0,1
20,Female,57.8,162.4,21.9,Lightly Active,Intermediate,Improve Endurance,Introvert,Urban,3.2,87.0,Back Pain,0,1,0,2,2,2,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17508,4.8,1,1
50,Male,53.9,168.0,19.1,Very Active,Advanced,Improve Endurance,Introvert,Suburban,2.5,130.0,None,0,1,1,2,2,3,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17509,4.4,1,1
23,Male,68.3,177.0,21.8,Moderately Active,Intermediate,Lose Weight,Ambivert,Rural,8.4,97.0,Back Pain,0,1,0,3,3,2,1,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17510,4.3,1,1
26,Male,67.7,166.6,24.4,Lightly Active,Beginner,Improve Endurance,Ambivert,Rural,9.8,62.0,Back Pain,0,1,1,2,2,3,0,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17511,3.6,1,1
13,Female,45.4,147.1,21.0,Lightly Active,Advanced,Stay Healthy,Ambivert,Rural,2.6,21.0,Back Pain,0,1,1,1,1,2,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17512,4.9,0,0
60,Male,60.7,169.6,21.1,Very Active,Advanced,Stay Healthy,Extrovert,Rural,3.7,111.0,Back Pain,0,1,1,2,1,2,1,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17513,4.1,1,1
62,Female,76.5,161.3,29.4,Lightly Active,Intermediate,Stay Healthy,Extrovert,Urban,6.7,32.0,Back Pain,0,1,1,3,3,3,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17514,3.6,1,0
31,Male,79.8,169.1,27.9,Very Active,Intermediate,Stay Healthy,Extrovert,Rural,8.5,43.0,Back Pain,0,1,1,2,2,2,0,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17515,4.0,1,1
32,Female,86.7,165.9,31.5,Very Active,Intermediate,Stay Healthy,Ambivert,Urban,11.0,84.0,None,0,1,0,2,1,3,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17516,4.3,0,1
30,Male,71.2,181.1,21.7,Moderately Active,Beginner,Lose Weight,Extrovert,Rural,3.7,132.0,Back Pain,0,1,0,2,2,3,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17517,4.5,1,1
46,Female,88.9,170.2,30.7,Lightly Active,Advanced,Lose Weight,Extrovert,Urban,11.9,83.0,Back Pain,0,1,1,2,1,2,0,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17518,4.5,1,0
49,Female,61.9,152.0,26.8,Lightly Active,Advanced,Improve Endurance,Introvert,Suburban,8.3,55.0,None,0,1,1,3,1,3,0,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17519,4.5,0,0
51,Male,54.9,164.9,20.2,Moderately Active,Beginner,Stay Healthy,Introvert,Rural,4.2,20.0,None,0,1,0,2,3,2,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17520,4.1,1,1
25,Female,59.1,166.6,21.3,Moderately Active,Beginner,Stay Healthy,Ambivert,Urban,7.4,58.0,Back Pain,0,1,1,3,1,3,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17521,4.4,0,1
49,Male,52.5,164.5,19.4,Very Active,Intermediate,Lose Weight,Extrovert,Rural,10.7,47.0,None,0,1,0,1,2,2,0,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17522,4.3,1,1
26,Female,87.7,164.0,32.6,Lightly Active,Beginner,Stay Healthy,Ambivert,Rural,8.4,31.0,None,0,1,0,3,1,3,1,0,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17523,4.2,1,1
42,Female,75.6,169.6,26.3,Very Active,Intermediate,Stay Healthy,Ambivert,Urban,11.8,25.0,Back Pain,0,1,1,1,1,3,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17524,4.0,1,1
12,Male,41.2,150.0,18.3,Very Active,Advanced,Stay Healthy,Introvert,Urban,2.1,100.0,None,0,1,0,1,2,2,1,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17525,5.0,1,1
35,Male,90.6,175.5,29.4,Very Active,Advanced,Improve Endurance,Ambivert,Urban,4.6,94.0,Back Pain,0,1,0,1,3,2,0,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17526,4.2,0,1
54,Female,84.3,165.2,30.9,Very Active,Beginner,Lose Weight,Extrovert,Rural,10.4,140.0,Back Pain,0,1,0,2,3,2,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17527,3.6,1,1
27,Female,79.2,159.6,31.1,Very Active,Advanced,Lose Weight,Introvert,Urban,5.2,40.0,Back Pain,0,1,1,3,3,3,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17528,4.7,1,1
60,Male,94.0,168.8,33.0,Very Active,Advanced,Lose Weight,Extrovert,Rural,9.6,135.0,Back Pain,0,1,1,1,3,2,1,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17529,3.6,1,0
25,Female,77.2,159.1,30.5,Moderately Active,Advanced,Lose Weight,Extrovert,Rural,4.3,125.0,None,0,1,1,3,1,2,1,0,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17530,3.6,1,1
19,Male,101.2,172.3,34.1,Lightly Active,Advanced,Improve Endurance,Extrovert,Urban,10.2,67.0,Back Pain,0,1,0,1,1,3,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17531,3.7,1,0
46,Female,85.9,156.9,34.9,Lightly Active,Beginner,Lose Weight,Ambivert,Rural,7.0,108.0,None,0,1,1,1,1,3,0,1,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17532,3.8,1,0
37,Female,75.4,164.4,27.9,Lightly Active,Intermediate,Improve Endurance,Extrovert,Suburban,5.0,61.0,None,0,1,1,2,3,3,0,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17533,4.3,0,0
31,Male,80.5,177.3,25.6,Very Active,Advanced,Stay Healthy,Ambivert,Rural,7.7,80.0,Back Pain,0,1,0,1,1,2,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17534,4.1,0,0
21,Female,86.9,161.5,33.3,Lightly Active,Beginner,Improve Endurance,Extrovert,Suburban,2.8,61.0,None,0,1,1,2,1,3,1,0,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17535,3.5,0,1
11,Male,70.4,144.8,33.6,Very Active,Intermediate,Improve Endurance,Extrovert,Urban,10.0,140.0,None,0,1,1,2,2,2,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17536,3.5,1,1
53,Male,57.6,174.6,18.9,Lightly Active,Advanced,Improve Endurance,Introvert,Urban,6.5,38.0,Back Pain,0,1,1,2,1,2,0,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17537,3.9,1,1
32,Female,68.2,160.7,26.4,Moderately Active,Intermediate,Lose Weight,Extrovert,Suburban,9.7,22.0,None,0,1,1,3,1,2,0,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17538,4.5,1,1
34,Male,77.3,176.5,24.8,Lightly Active,Intermediate,Improve Endurance,Ambivert,Suburban,5.3,87.0,None,0,1,1,1,3,3,1,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17539,4.1,1,1
12,Male,60.2,146.1,28.2,Very Active,Intermediate,Stay Healthy,Extrovert,Rural,2.8,72.0,Back Pain,0,1,1,3,2,2,1,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17540,4.8,0,0
52,Male,61.4,174.8,20.1,Lightly Active,Advanced,Lose Weight,Introvert,Rural,4.5,48.0,Back Pain,0,1,1,3,1,3,1,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17541,3.9,1,1
31,Female,92.5,162.8,34.9,Moderately Active,Intermediate,Improve Endurance,Extrovert,Urban,7.2,91.0,Back Pain,0,1,0,3,2,3,1,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17542,4.2,1,0
38,Male,78.0,178.8,24.4,Very Active,Intermediate,Stay Healthy,Extrovert,Rural,8.7,32.0,None,0,1,0,3,3,2,0,1,4,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17543,4.4,1,1
49,Female,59.0,170.1,20.4,Moderately Active,Intermediate,Stay Healthy,Introvert,Rural,8.3,55.0,None,0,1,0,1,1,3,1,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17544,4.6,1,1
44,Male,59.1,169.4,20.6,Lightly Active,Beginner,Stay Healthy,Introvert,Rural,8.2,134.0,Back Pain,0,1,0,3,1,3,0,1,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17545,4.7,1,1
56,Female,47.5,158.6,18.9,Very Active,Advanced,Improve Endurance,Ambivert,Urban,6.3,31.0,Back Pain,0,1,0,1,1,3,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17546,4.5,1,1
36,Male,79.4,181.9,24.0,Very Active,Beginner,Improve Endurance,Extrovert,Suburban,6.5,124.0,None,0,1,0,3,2,2,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17547,3.6,1,1
44,Male,70.0,181.7,21.2,Very Active,Advanced,Improve Endurance,Extrovert,Rural,7.5,53.0,Back Pain,0,1,0,2,2,2,0,0,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17548,3.7,1,0
59,Female,63.5,159.1,25.1,Very Active,Advanced,Stay Healthy,Extrovert,Urban,11.9,91.0,Back Pain,0,1,0,3,1,2,0,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17549,4.7,1,1
53,Male,89.1,174.1,29.4,Moderately Active,Advanced,Lose Weight,Introvert,Suburban,11.0,61.0,None,0,1,0,3,2,2,1,1,3,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17550,4.7,0,1
36,Male,85.4,173.7,28.3,Moderately Active,Intermediate,Improve Endurance,Introvert,Suburban,2.2,105.0,Back Pain,0,1,0,3,1,2,0,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17551,4.9,1,1
15,Male,90.0,178.3,28.3,Lightly Active,Intermediate,Stay Healthy,Ambivert,Urban,9.4,49.0,None,0,1,0,3,2,3,1,1,3,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17552,3.5,1,0
23,Female,58.0,150.2,25.7,Lightly Active,Advanced,Stay Healthy,Ambivert,Suburban,7.4,44.0,None,0,1,1,2,3,3,0,1,2,4,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17553,4.8,1,1
20,Female,56.4,156.9,22.9,Moderately Active,Intermediate,Improve Endurance,Extrovert,Rural,10.9,139.0,None,0,1,1,3,3,2,1,0,2,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17554,3.9,1,1
28,Female,53.3,168.9,18.7,Lightly Active,Intermediate,Stay Healthy,Introvert,Urban,4.3,63.0,None,0,1,0,1,3,3,0,0,4,5,5,Cycling,Medium,Individual,Outdoor,Medium,480,U17555,3.7,1,1
